name,brand,price,Processor Brand,Processor Name,Processor Generation,processor clock speed,Number of Cores,SSD,drive capacity,RAM,Dedicated Graphic Memory Capacity,screen size,Screen Resolution,weight,speakers,touchscreen,microphone,webcam
"ASUS ROG Strix SCAR 17 Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti) G733ZW-LL139WS Gaming Laptop  (17.3 inch, Off Black, 2.90 kg, With MS Office)",ASUS,234990,Intel,Core i9,12th Gen,2.5,14.0,true,1000.0,32,8 GB,17.3,3686400.0,2.90,True,True,True,False
"ASUS ROG Strix SCAR 15 Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti) G533ZW-LN136WS Gaming Laptop  (15.6 inch, Off Black, 2.30 kg, With MS Office)",ASUS,229990,Intel,Core i9,12th Gen,2.5,14.0,true,1000.0,32,8 GB,15.6,3686400.0,2.30,True,True,True,False
"HP Victus Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 16-e0351AX Gaming Laptop  (16.1 inch, Mica Silver, 2.48 kg, With MS Office)",HP,104091,AMD,Ryzen 7 Octa Core,,3.2,8.0,true,512.0,16,4 GB,16.1,2073600.0,2.48,True,True,True,True
"Lenovo IdeaPad Gaming 3i Ryzen 7 Octa Core R7-5800H 5th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15ACH6 Gaming Laptop  (15.6 inch, Shadow Black, 2.25 kg, With MS Office)",Lenovo,87717,AMD,Ryzen 7 Octa Core,5th Gen,3.2,8.0,true,512.0,16,4 GB,15.6,2073600.0,2.25,True,True,True,True
"Lenovo Yoga Slim 7 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 82A300MBIN Thin and Light Laptop  (14 inch, Slate Grey, With MS Office)",Lenovo,75990,Intel,Core i5,11th Gen,,,true,512.0,16,,14,,,True,True,True,True
"Lenovo Yoga Slim 7 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop  (14 inch, Slate Grey, 1.36 kg, With MS Office)",Lenovo,78395,Intel,Core i7,11th Gen,2.4,4.0,true,512.0,16,,14,2073600.0,1.36,True,True,True,True
"Lenovo Lenovo V15 Celeron Dual Core - (4 GB/256 GB SSD/Windows 10) 82C30053IH Thin and Light Laptop  (15.6 inch, Iron Grey)",Lenovo,29290,Intel,Celeron Dual Core,,,,true,256.0,4,,15.6,,,False,True,False,True
"Lenovo Yoga 6 Ryzen 7 Octa Core R7-5700U 5th Gen - (16 GB/1 TB SSD/Windows 11 Home) 13ALC6 2 in 1 Laptop  (13.3 inch, Abyss Blue, 1.31 kg, With MS Office)",Lenovo,91308,AMD,Ryzen 7 Octa Core,5th Gen,1.8,8.0,true,1000.0,16,,13.3,2073600.0,1.31,True,True,True,True
"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LH-HN310W Gaming Laptop  (15.6 inch, Black, 2.30 kg)",ASUS,64990,Intel,Core i5,10th Gen,2.5,4.0,true,1000.0,8,4 GB,15.6,2073600.0,2.30,True,True,True,True
"DELL Inspiron Pentium Silver - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3521 Notebook  (15.6 Inch, Carbon Black, 1.61 Kg, With MS Office)",DELL,32999,Intel,Pentium Silver,,3.1,4.0,true,256.0,8,,15.6,2073600.0,1.61,True,True,True,True
"DELL Inspiron Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Notebook  (15.6 Inch, Carbon Black, 1.68 Kg, With MS Office)",DELL,30990,AMD,Athlon Dual Core,,3.2,2.0,true,256.0,8,,15.6,2073600.0,1.68,True,True,True,True
"DELL Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) XPS 9305 Thin and Light Laptop  (13.4 inch, Platinum Silver, 1.16 kg, With MS Office)",DELL,149645,Intel,Core i5,11th Gen,2.4,8.0,true,512.0,16,,13.4,2073600.0,1.16,True,True,True,True
"Lenovo Yoga 7i Ryzen 7 Octa Core R7-5800U 5th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14ITL5 2 in 1 Laptop  (14 inch, Slate Grey, 1.43 kg, With MS Office)",Lenovo,99219,AMD,Ryzen 7 Octa Core,5th Gen,1.9,,true,512.0,16,,14,2073600.0,1.43,True,True,True,True
