brand,price,processor brand,processor number,processor year,processor clock speed,processor core count,SSD,drive capacity,RAM,GPU memory,screen size,pixel count,weight,speakers,touchscreen,microphone,webcam
ASUS,234990,Intel,9,2021.0,2.5,14.0,True,1024.0,32,8.0,17.3,3686400.0,2.90,True,True,True,False
ASUS,229990,Intel,9,2021.0,2.5,14.0,True,1024.0,32,8.0,15.6,3686400.0,2.30,True,True,True,False
HP,104091,AMD,7,,3.2,8.0,True,512.0,16,4.0,16.1,2073600.0,2.48,True,True,True,True
Lenovo,87717,AMD,7,2021.0,3.2,8.0,True,512.0,16,4.0,15.6,2073600.0,2.25,True,True,True,True
Lenovo,75990,Intel,5,2020.0,,,True,512.0,16,,14,,,True,True,True,True
Lenovo,78395,Intel,7,2020.0,2.4,4.0,True,512.0,16,,14,2073600.0,1.36,True,True,True,True
Lenovo,29290,Intel,1,,,,True,256.0,4,,15.6,,,False,True,False,True
Lenovo,91308,AMD,7,2021.0,1.8,8.0,True,1024.0,16,,13.3,2073600.0,1.31,True,True,True,True
ASUS,64990,Intel,5,2019.0,2.5,4.0,True,1024.0,8,4.0,15.6,2073600.0,2.30,True,True,True,True
DELL,32999,Intel,1,,3.1,4.0,True,256.0,8,,15.6,2073600.0,1.61,True,True,True,True
DELL,30990,AMD,1,,3.2,2.0,True,256.0,8,,15.6,2073600.0,1.68,True,True,True,True
DELL,149645,Intel,5,2020.0,2.4,8.0,True,512.0,16,,13.4,2073600.0,1.16,True,True,True,True
Lenovo,99219,AMD,7,2021.0,1.9,,True,512.0,16,,14,2073600.0,1.43,True,True,True,True
ASUS,82980,AMD,7,,,,True,512.0,16,4.0,15.6,2073600.0,,False,True,False,False
ASUS,36949,AMD,3,2019.0,,,True,256.0,8,,15.6,2073600.0,,False,True,False,False
ASUS,129990,AMD,9,2021.0,3.1,8.0,True,1024.0,32,4.0,13.4,2304000.0,1.3,True,True,True,True
MSI,158270,Intel,7,2020.0,4.60,,True,1024.0,16,8.0,15.6,2073600.0,2.9,True,True,True,True
ASUS,47990,Intel,3,2020.0,3,2.0,True,256.0,8,,15.6,2073600.0,1.80,True,True,True,True
realme,64990,Intel,5,2020.0,3.2,,True,512.0,16,,14,3110400.0,1.37,False,True,False,False
realme,64990,Intel,5,2020.0,3.2,,True,512.0,16,,14,3110400.0,1.37,False,True,False,False
realme,64990,Intel,5,2020.0,3.2,,True,512.0,16,,14,3110400.0,1.37,False,True,False,False
DELL,103990,Intel,7,2020.0,2.6,8.0,True,512.0,16,4.0,15.6,2073600.0,2.65,True,True,True,True
DELL,69490,AMD,5,,3.2,8.0,True,512.0,8,4.0,15.6,2073600.0,2.57,True,True,True,True
Avita,21990,Intel,1,,,,True,128.0,4,,14.1,2073600.0,,True,True,True,True
ASUS,74990,Intel,5,2021.0,4.5,8.0,True,512.0,16,,14,5184000.0,1.50,True,True,True,True
ASUS,94990,Intel,7,2021.0,3.0,6.0,True,512.0,16,,14,5184000.0,1.50,True,True,True,True
ASUS,89990,Intel,5,2021.0,1.7,12.0,True,512.0,16,,14,5184000.0,1.39,True,True,True,True
ASUS,134990,Intel,7,2021.0,2.3,12.0,True,1024.0,16,,14,5184000.0,1.40,True,True,True,True
ASUS,74990,Intel,5,2021.0,4.5,8.0,True,512.0,16,,14,5184000.0,1.50,True,True,True,True
ASUS,104990,Intel,7,2021.0,2.1,12.0,True,512.0,16,,14,5184000.0,1.39,True,True,True,True
ASUS,94990,Intel,7,2021.0,4.7,8.0,True,512.0,16,,14,5184000.0,1.50,True,True,True,True
ASUS,114990,Intel,5,2021.0,2.5,12.0,True,512.0,16,,14,5184000.0,1.40,True,True,True,True
DELL,42990,AMD,5,,2.1,4.0,True,256.0,8,,14,2073600.0,1.59,True,True,True,True
ASUS,80500,AMD,7,,,,True,512.0,8,4.0,15.6,2073600.0,,False,True,False,False
ASUS,106990,AMD,9,,,,True,512.0,16,6.0,16.6,2073600.0,,False,True,False,False
ASUS,43430,Intel,5,2019.0,,,True,256.0,8,,15.6,2073600.0,,False,True,False,False
ASUS,65990,Intel,5,2020.0,,,True,256.0,8,,15.6,777600.0,,False,True,False,False
ASUS,82449,AMD,7,,,,True,512.0,8,4.0,17.3,2073600.0,,False,True,False,False
ASUS,60990,Intel,5,2020.0,2.40,4.0,True,512.0,16,,14,2073600.0,1.40,True,True,True,True
ASUS,47990,Intel,5,2019.0,1.0,4.0,True,512.0,8,,15.6,2073600.0,1.80,True,True,True,True
DELL,138990,Intel,7,2021.0,3.5,14.0,True,1024.0,16,6.0,15.6,3686400.0,2.57,True,True,True,True
DELL,87990,Intel,5,2021.0,3.3,12.0,True,512.0,16,4.0,15.6,2073600.0,2.57,True,True,True,True
DELL,127990,Intel,7,2021.0,3.5,14.0,True,512.0,16,6.0,15.6,2073600.0,2.57,True,True,True,True
ASUS,36990,Intel,3,2020.0,3.00,2.0,True,256.0,8,,15.6,1049088.0,1.80,True,True,True,True
DELL,74490,Intel,5,2020.0,2.6,8.0,True,512.0,16,4.0,15.6,2073600.0,2.65,True,True,True,True
DELL,117490,Intel,7,2021.0,3.5,14.0,True,1024.0,16,4.0,15.6,2073600.0,2.57,True,True,True,True
DELL,104990,Intel,7,2021.0,3.5,14.0,True,512.0,16,4.0,15.6,2073600.0,2.57,True,True,True,True
DELL,69490,Intel,5,2020.0,2.6,8.0,True,512.0,8,4.0,15.6,2073600.0,2.65,True,True,True,True
acer,49990,Intel,5,2020.0,2.40,4.0,True,512.0,8,,15.6,2073600.0,1.65,True,True,True,True
ASUS,50990,Intel,3,2020.0,1.7,2.0,True,256.0,8,,15.6,2073600.0,1.80,True,True,True,True
ASUS,30990,Intel,3,2019.0,1.2,2.0,False,1024.0,8,,15.6,2073600.0,1.80,True,True,True,True
ASUS,67949,Intel,5,2020.0,,,True,512.0,16,,15.6,2073600.0,,False,True,False,False
